Index,Guess,Actual,AbsErr_min,ImagePath
1,17:13,17:04,9.57038269042961,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230505_170354.jpg
2,16:06,17:10,64.0990743001301,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230505_182240.jpg
3,12:13,17:46,333.512033335368,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230523_174622.jpg
4,14:13,19:26,312.838858032227,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230612_192554.jpg
5,16:54,19:26,151.994310506185,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230612_192608.jpg
6,14:07,18:56,288.684347788493,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230614_185610.jpg
7,16:05,14:35,89.5068501790364,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230617_143504.jpg
8,17:58,14:35,203.182096354167,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230617_143508.jpg
9,15:26,14:51,35.0276257832846,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230617_145100.jpg
10,17:20,20:23,183.085158284505,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230620_202256.jpg
11,10:50,10:11,39.5908838907878,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230713_101035.jpg
12,24:00,13:44,616.160666666667,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230713_134349.jpg
13,07:43,08:30,47.0908627827961,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230828_082946.jpg
14,12:58,18:43,344.184626515706,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20240919_184240.jpg
15,17:49,20:55,186.273344930013,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230615_205510.dng
16,17:42,12:19,323.17408803304,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230629_121842.dng
17,16:51,19:35,164.56782023112,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230701_193525.dng
18,14:23,18:06,223.417966206869,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20250107_180605.dng
19,17:46,19:01,75.0269292195638,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20250502_190105.dng
20,11:09,16:26,317.278507995605,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230505_162618.jpg
21,13:01,16:34,213.390076446533,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230523_163403.jpg
22,15:14,16:34,80.0203493754069,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230523_163407.jpg
23,09:54,17:46,472.769605000814,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230523_174620.jpg
24,10:11,19:26,554.539772033691,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230612_192600.jpg
25,16:20,20:23,242.643397013346,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230620_202240.jpg
26,07:32,13:46,373.59245262146,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230708_134550.jpg
27,06:44,19:33,671.330510965983,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230708_193308.jpg
28,07:13,08:30,77.4463821411133,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230828_083006.jpg
29,11:15,17:13,358.45393854777,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20231220_171318.jpg
30,14:47,19:01,253.851886749268,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20250502_190100.jpg
31,14:02,19:01,299.480156707764,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20250502_190103.jpg
32,08:41,06:59,101.981161753337,C:\Users\ssarp\.vscode\projects\sky-time\dataset\IMG_20230827_065850.jpg
33,15:00,19:44,284.328527832031,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230629_194409.dng
34,14:04,12:14,109.917165120443,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230708_121340.dng
35,13:53,19:33,340.107046763102,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230708_193255.dng
36,13:55,10:02,233.57149810791,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230713_100133.dng
37,13:52,10:03,228.48152440389,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230713_100319.dng
38,12:47,20:18,450.852855682373,C:\Users\ssarp\.vscode\projects\sky-time\dataset\20230828_201744.dng
